Generating SQLite file records/04-nvfp4-e4m3-scale-fused/profile/nvfp4.sqlite from records/04-nvfp4-e4m3-scale-fused/profile/nvfp4.nsys-rep
Processing [records/04-nvfp4-e4m3-scale-fused/profile/nvfp4.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     49.9          6475901          9  719544.6  719186.0    715931    723861       2595.2  pipeline::build_scales(const float *, const float *, unsigned char *, unsigned long, bool)          
     12.6          1628777         26   62645.3   62318.0     61802     65767       1009.7  pipeline::maximum(const float *, float *, unsigned long)                                            
     12.3          1596311         17   93900.6   93912.0     93654     94138        150.8  pipeline::nvfp4_quantize_fused_kernel(const float *, unsigned char *, unsigned char *, const float …
      6.4           836116          8  104514.5  104518.5    104357    104712        122.4  void pipeline::dequantize_kernel<__nv_bfloat16>(const unsigned char *, const unsigned char *, const…
      6.3           812873          9   90319.2   90334.0     90172     90527        117.6  void pipeline::quantize_kernel<(bool)1>(const float *, unsigned char *, const unsigned char *, cons…
      6.1           789500          8   98687.5   98635.0     98103     99619        562.4  void pipeline::dequantize_kernel<float>(const unsigned char *, const unsigned char *, const float *…
      5.8           748879          8   93609.9   93590.0     93429     93815        124.0  void pipeline::dequantize_kernel<__half>(const unsigned char *, const unsigned char *, const float …
      0.7            89526         26    3443.3    3418.0      3321      3611         58.4  pipeline::finalize_max(const float *, float *, unsigned int)                                        

