Generating SQLite file /home/jky/Learning-CUDA-project/02_quant_dequant/YeKcaJ/records/my-profile/nvfp4.sqlite from /home/jky/Learning-CUDA-project/02_quant_dequant/YeKcaJ/records/my-profile/nvfp4.nsys-rep
Processing [/home/jky/Learning-CUDA-project/02_quant_dequant/YeKcaJ/records/my-profile/nvfp4.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     51.0          6699965          9  744440.6  713489.0    709680    988375      91501.6  pipeline::build_scales(const float *, const float *, unsigned char *, unsigned long, bool)          
     12.3          1613094         26   62042.1   61777.5     60897     64866       1030.0  pipeline::maximum(const float *, float *, unsigned long)                                            
     12.0          1580357         17   92962.2   92994.0     92482     93219        172.0  pipeline::nvfp4_quantize_fused_kernel(const float *, unsigned char *, unsigned char *, const float …
      6.3           828245          8  103530.6  103523.0    103363    103714        113.0  void pipeline::dequantize_kernel<__nv_bfloat16>(const unsigned char *, const unsigned char *, const…
      6.1           805298          9   89477.6   89442.0     89282     89730        145.3  void pipeline::quantize_kernel<(bool)1>(const float *, unsigned char *, const unsigned char *, cons…
      5.9           778513          8   97314.1   97298.0     96962     98018        321.9  void pipeline::dequantize_kernel<float>(const unsigned char *, const unsigned char *, const float *…
      5.6           741042          8   92630.3   92578.5     92450     92899        165.1  void pipeline::dequantize_kernel<__half>(const unsigned char *, const unsigned char *, const float …
      0.7            85827         26    3301.0    3328.0      3104      3488        106.3  pipeline::finalize_max(const float *, float *, unsigned int)                                        

Processing [/home/jky/Learning-CUDA-project/02_quant_dequant/YeKcaJ/records/my-profile/nvfp4.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)  Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ---------  --------  --------  ---------  -----------  ----------------------
     69.5        171733347         54  3180247.2  217013.5      1840  162690878   22116934.5  cudaMalloc            
     18.8         46402631         39  1189811.1  224958.0     26885   20976000    3385720.0  cudaMemcpy            
      5.3         13124744         50   262494.9  123210.0     54617    1412373     296000.2  cudaEventSynchronize  
      3.1          7662410        111    69030.7   44748.0      5379    2666283     251662.1  cudaLaunchKernel      
      2.4          5855580         54   108436.7  141092.0      1116     320838     105403.1  cudaFree              
      0.7          1678376        100    16783.8    9865.5      2902     417667      41315.2  cudaEventRecord       
      0.3           703421         18    39078.9    2017.5       357     669219     157276.7  cudaEventCreate       
      0.0            20829         18     1157.2    1063.5       316       3052        726.3  cudaEventDestroy      
      0.0             4827          1     4827.0    4827.0      4827       4827          0.0  cuModuleGetLoadingMode

Processing [/home/jky/Learning-CUDA-project/02_quant_dequant/YeKcaJ/records/my-profile/nvfp4.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)           Operation          
 --------  ---------------  -----  ---------  ---------  --------  --------  -----------  ----------------------------
     93.2         35637179      9  3959686.6  1987918.0   1862475  19432291    5803842.4  [CUDA memcpy Host-to-Device]
      6.8          2591743     30    86391.4    25121.0      1184    303399     105457.9  [CUDA memcpy Device-to-Host]

